time,flux,flux_err
2460882.3335946016,,
2460882.3349834704,,
2460882.3363723387,,
2460882.3377612075,,
2460882.3391500763,,
2460882.340538945,,
2460882.3419278134,,
2460882.343316682,,
2460882.344705551,,
2460882.3460944197,,
2460882.3474832885,,
2460882.3488721573,,
2460882.3502610256,,
2460882.3516498944,,
2460882.353038763,,
2460882.354427632,,
2460882.3558165007,,
2460882.3572053695,,
2460882.3585942383,,
2460882.359983107,,
2460882.361371976,,
2460882.3627608446,,
2460882.3641497134,,
2460882.365538582,,
2460882.366927451,,
2460882.36831632,,
2460882.369705189,,
2460882.371094058,,
2460882.3724829266,,
2460882.3738717954,,
2460882.375260664,,
2460882.376649533,,
2460882.378038402,,
2460882.379427271,,
2460882.3808161397,,
2460882.3822050085,,
2460882.383593878,,
2460882.3849827466,,
2460882.3863716153,,
2460882.3877604846,,
2460882.3891493534,,
2460882.3905382226,,
2460882.3919270914,,
2460882.39331596,,
2460882.3947048294,,
2460882.396093698,,
2460882.3974825675,,
2460882.3988714362,,
2460882.4002603055,,
2460882.4016491743,,
2460882.4030380435,,
2460882.4044269123,,
2460882.4058157816,,
2460882.407204651,,
2460882.4085935196,,
2460882.409982389,,
2460882.4113712576,,
2460882.412760127,,
2460882.414148996,,
2460882.415537865,,
2460882.416926734,,
2460882.4183156034,,
2460882.4197044726,,
2460882.4210933414,,
2460882.4224822107,,
2460882.42387108,,
2460882.425259949,,
2460882.4266488184,,
2460882.4280376877,,
2460882.4294265565,,
2460882.4308154257,,
2460882.432204295,,
2460882.433593164,,
2460882.4349820334,,
2460882.4363709027,,
2460882.437759772,,
2460882.439148641,,
2460882.4405375104,,
2460882.4419263797,,
2460882.443315249,,
2460882.444704118,,
2460882.4460929874,,
2460882.4474818567,,
2460882.448870726,,
2460882.450259595,,
2460882.451648465,,
2460882.453037334,,
2460882.4544262034,,
2460882.4558150726,,
2460882.457203942,,
2460882.4585928116,,
2460882.459981681,,
2460882.46137055,,
2460882.4627594193,,
2460882.464148289,,
2460882.4655371583,,
2460882.4669260276,,
2460882.4683148973,,
2460882.4697037665,,
2460882.4710926358,,
2460882.4724815055,,
2460882.4738703747,,
2460882.475259244,,
2460882.4766481137,,
2460882.478036983,,
2460882.4794258527,,
2460882.480814722,,
2460882.4822035916,,
2460882.483592461,,
2460882.4849813306,,
2460882.4863702,,
2460882.4877590695,,
2460882.489147939,,
2460882.4905368085,,
2460882.491925678,,
2460882.4933145475,,
2460882.494703417,,
2460882.496092287,,
2460882.497481156,,
2460882.498870026,,
2460882.5002588956,,
2460882.501647765,,
2460882.5030366345,,
2460882.5044255042,,
2460882.505814374,,
2460882.507203243,,
2460882.508592113,,
2460882.5099809826,,
2460882.5113698523,,
2460882.512758722,,
2460882.514147592,,
2460882.5155364615,,
2460882.5169253307,,
2460882.5183142005,,
2460882.51970307,,
2460882.52109194,,
2460882.5224808096,,
2460882.5238696793,,
2460882.525258549,,
2460882.5266474187,,
2460882.5280362885,,
2460882.529425158,,
2460882.530814028,,
2460882.5322028976,,
2460882.5335917673,,
2460882.534980637,,
2460882.536369507,,
2460882.537758377,,
2460882.5391472466,,
2460882.5405361163,,
2460882.541924986,,
2460882.543313856,,
2460882.544702726,,
2460882.5460915957,,
2460882.5474804654,,
2460882.548869335,,
2460882.5502582053,,
2460882.551647075,,
2460882.5530359447,,
2460882.5544248144,,
2460882.5558136846,,
2460882.5572025543,,
2460882.558591424,,
2460882.559980294,,
2460882.561369164,,
2460882.562758034,,
2460882.564146904,,
2460882.5655357735,,
2460882.5669246437,,
2460882.5683135134,,
2460882.5697023836,,
2460882.5710912533,,
2460882.5724801235,,
2460882.573868993,,
2460882.5752578634,,
2460882.576646733,,
2460882.5780356033,,
2460882.579424473,,
2460882.580813343,,
2460882.5822022134,,
2460882.583591083,,
2460882.5849799532,,
2460882.5863688234,,
2460882.587757693,,
2460882.5891465633,,
2460882.5905354335,,
2460882.591924303,,
2460882.5933131734,,
2460882.5947020436,,
2460882.5960909133,,
2460882.5974797835,,
2460882.5988686536,,
2460882.600257524,,
2460882.601646394,,
2460882.6030352637,,
2460882.604424134,,
2460882.605813004,,
2460882.6072018743,,
2460882.6085907444,,
2460882.6099796146,,
2460882.611368485,,
2460882.612757355,,
2460882.614146225,,
2460882.6155350953,,
2460882.6169239655,,
2460882.6183128357,,
2460882.619701706,,
2460882.621090576,,
2460882.622479446,,
2460882.6238683164,,
2460882.6252571866,,
2460882.626646057,,
2460882.628034927,,
2460882.629423797,,
2460882.6308126673,,
2460882.6322015375,,
2460882.6335904077,,
2460882.634979278,,
2460882.6363681485,,
2460882.6377570187,,
2460882.639145889,,
2460882.640534759,,
2460882.641923629,,
2460882.6433125,,
2460882.64470137,,
2460882.64609024,,
2460882.6474791104,,
2460882.648867981,,
2460882.650256851,,
2460882.6516457214,,
2460882.6530345916,,
2460882.654423462,,
2460882.6558123324,,
2460882.6572012026,,
2460882.658590073,,
2460882.6599789434,,
2460882.661367814,,
2460882.6627566842,,
2460882.6641455544,,
2460882.665534425,,
2460882.6669232952,,
2460882.668312166,,
2460882.669701036,,
2460882.6710899067,,
2460882.672478777,,
2460882.6738676475,,
2460882.6752565177,,
2460882.6766453884,,
2460882.6780342585,,
2460882.679423129,,
2460882.680812,,
2460882.68220087,,
2460882.6835897407,,
2460882.684978611,,
2460882.6863674815,,
2460882.687756352,,
2460882.6891452223,,
2460882.690534093,,
2460882.6919229636,,
2460882.6933118342,,
2460882.6947007044,,
2460882.696089575,,
2460882.6974784457,,
2460882.698867316,,
2460882.7002561865,,
2460882.701645057,,
2460882.703033928,,
2460882.7044227985,,
2460882.7058116687,,
2460882.7072005393,,
2460882.70858941,,
2460882.7099782806,,
2460882.7113671512,,
2460882.712756022,,
2460882.7141448925,,
2460882.7155337627,,
2460882.7169226333,,
2460882.718311504,,
2460882.7197003746,,
2460882.7210892453,,
2460882.722478116,,
2460882.7238669866,,
2460882.725255857,,
2460882.726644728,,
2460882.7280335985,,
2460882.729422469,,
2460882.73081134,,
2460882.7322002104,,
2460882.733589081,,
2460882.7349779517,,
2460882.7363668224,,
2460882.737755693,,
2460882.739144564,,
2460882.740533435,,
2460882.7419223054,,
2460882.743311176,,
2460882.7447000467,,
2460882.7460889174,,
2460882.747477788,,
2460882.748866659,,
2460882.75025553,,
2460882.7516444004,,
2460882.753033271,,
2460882.7544221417,,
2460882.755811013,,
2460882.7571998835,,
2460882.758588754,,
2460882.759977625,,
2460882.761366496,,
2460882.7627553665,,
2460882.764144237,,
2460882.7655331083,,
2460882.766921979,,
2460882.7683108496,,
2460882.7696997207,,
2460882.7710885913,,
2460882.7724774624,,
2460882.773866333,,
2460882.7752552037,,
2460882.776644075,,
2460882.7780329455,,
2460882.7794218166,,
2460882.780810687,,
2460882.7821995583,,
2460882.783588429,,
2460882.7849773,,
2460882.7863661707,,
2460882.787755042,,
2460882.7891439125,,
2460882.7905327836,,
2460882.7919216543,,
2460882.7933105254,,
2460882.794699396,,
2460882.796088267,,
2460882.797477138,,
2460882.798866009,,
2460882.80025488,,
2460882.8016437506,,
2460882.8030326217,,
2460882.804421493,,
2460882.8058103635,,
2460882.8071992346,,
2460882.8085881057,,
2460882.8099769764,,
2460882.8113658475,,
2460882.8127547186,,
2460882.814143589,,
2460882.8155324603,,
2460882.8169213315,,
2460882.8183102026,,
2460882.819699073,,
2460882.8210879443,,
2460882.8224768154,,
2460882.8238656865,,
2460882.825254557,,
2460882.8266434283,,
2460882.8280322994,,
2460882.8294211705,,
2460882.8308100416,,
2460882.8321989127,,
2460882.8335877834,,
2460882.8349766545,,
2460882.8363655256,,
2460882.8377543967,,
2460882.839143268,,
2460882.840532139,,
2460882.84192101,,
2460882.843309881,,
2460882.8446987523,,
2460882.8460876234,,
2460882.8474764945,,
2460882.8488653656,,
2460882.8502542367,,
2460882.851643108,,
2460882.853031979,,
2460882.85442085,,
2460882.855809721,,
2460882.8571985923,,
2460882.8585874634,,
2460882.8599763345,,
2460882.8613652056,,
2460882.8627540767,,
2460882.864142948,,
2460882.865531819,,
2460882.86692069,,
2460882.868309561,,
2460882.8696984323,,
2460882.871087304,,
2460882.872476175,,
2460882.873865046,,
2460882.875253917,,
2460882.8766427883,,
2460882.87803166,,
2460882.879420531,,
2460882.880809402,,
2460882.882198273,,
2460882.8835871443,,
2460882.884976016,,
2460882.886364887,,
2460882.887753758,,
2460882.889142629,,
2460882.890531501,,
2460882.891920372,,
2460882.893309243,,
2460882.894698114,,
